entrez_id	Occurance
9612	20
80736	17
780	15
100506585	15
2886	13
100130275	12
202333	11
3856	11
5260	11
79191	10
5696	10
6926	10
23024	9
100129534	9
220070	9
83706	9
3899	9
5777	9
654433	9
4026	8
10801	8
4616	8
8711	8
23263	8
57153	8
2188	8
10653	8
152195	8
100131187	7
84958	7
7008	7
3169	7
9184	7
100130776	7
1316	7
1364	7
79755	7
54961	7
11060	6
23550	6
85456	6
145837	6
999	6
7020	6
2063	6
1454	6
54758	6
6904	6
3913	6
2049	6
8324	6
10603	6
57690	6
648987	6
677820	6
3720	6
8535	6
4000	6
1978	6
25790	5
283902	5
146336	5
116113	5
23580	5
84309	5
80004	5
155066	5
6821	5
6663	5
9064	5
84708	5
10368	5
79628	5
727897	5
200424	5
54509	5
56341	5
7031	5
4942	5
83547	5
144347	5
400931	5
283897	5
22982	5
100506779	5
4049	5
81607	5
8741	5
100616307	5
677882	5
64759	5
116986	5
1500	5
6876	5
1488	5
7802	5
4055	5
2296	5
100170841	5
389114	5
182	5
339803	5
81545	5
2306	5
64073	5
6284	4
22883	4
374403	4
79899	4
144501	4
84627	4
406985	4
100132215	4
54923	4
89797	4
149466	4
6820	4
10903	4
54897	4
64284	4
3689	4
399806	4
92359	4
27198	4
56288	4
55809	4
79977	4
91252	4
9922	4
146712	4
ND	4
65983	4
55567	4
7090	4
1476	4
57176	4
57521	4
10580	4
29887	4
5790	4
57568	4
5914	4
6693	4
1889	4
7057	4
92170	4
7975	4
6934	4
5652	4
22821	4
197196	4
100616116	4
51281	4
55267	4
84275	4
27124	4
1999	4
27076	4
84939	4
10861	4
57178	4
8673	4
80975	4
677	4
7145	4
1907	4
2001	4
29125	4
9138	4
64788	4
84330	4
8209	4
23149	4
8871	4
64005	4
3315	4
8991	4
79767	4
222	4
221496	4
4774	4
57085	4
6891	4
10938	4
2131	4
100532732	4
85450	4
693180	4
23235	4
79161	4
93517	4
100529251	4
6768	4
205	4
644962	4
7681	4
3008	4
84058	4
54503	4
5174	4
54777	4
439990	4
27352	4
11009	3
1052	3
1003	3
406934	3
9750	3
54206	3
79083	3
142678	3
6242	3
100302123	3
147138	3
5349	3
65057	3
100188947	3
197322	3
6497	3
10865	3
100313842	3
2065	3
51564	3
23268	3
8878	3
23428	3
51421	3
27040	3
5863	3
6867	3
25900	3
6720	3
7837	3
87769	3
10290	3
283807	3
3955	3
339789	3
388115	3
6095	3
9249	3
64423	3
51066	3
100506207	3
966	3
29123	3
100128126	3
23677	3
23199	3
693205	3
155465	3
4782	3
100128023	3
4968	3
54090	3
84812	3
5585	3
55553	3
3299	3
2820	3
3141	3
11030	3
400746	3
254778	3
8698	3
400451	3
115992	3
25992	3
84174	3
10922	3
55534	3
90459	3
131890	3
463	3
10131	3
6793	3
5306	3
3932	3
10123	3
100847014	3
4862	3
85320	3
6494	3
93166	3
154449	3
1374	3
54971	3
10531	3
57449	3
57648	3
5618	3
56963	3
9368	3
2047	3
2444	3
57685	3
29	3
100528019	3
3024	3
100529063	3
85441	3
1523	3
284029	3
26119	3
693148	3
100128511	3
200734	3
23429	3
150771	3
4776	3
283487	3
124565	3
57549	3
9414	3
79092	3
3601	3
57127	3
84818	3
90427	3
11187	3
401409	3
4163	3
51523	3
100507605	3
134549	3
27295	3
57210	3
283335	3
2670	3
84931	3
116987	3
6692	3
27232	3
8165	3
58530	3
59307	3
2064	3
8379	3
10166	3
9771	3
1745	3
4041	3
145216	3
9448	3
23176	3
285224	3
63027	3
8500	3
222256	3
221937	3
4241	3
2778	3
4286	3
2737	3
79713	3
126308	3
4883	3
23648	3
145567	3
100131060	3
23338	3
2113	3
344148	3
29128	3
51466	3
5899	3
4324	3
4582	3
79026	3
222255	3
6916	3
3710	3
284307	3
55246	3
23678	3
55502	3
9372	3
7049	3
10942	3
85453	3
165545	3
2218	3
55027	3
51806	3
518	3
64207	3
63926	3
127018	3
4615	3
64411	3
222171	3
3898	3
8870	3
9674	3
147093	3
4854	3
54845	3
3775	3
23315	3
54858	3
83592	3
246777	3
143379	3
1346	3
56977	3
8382	3
27131	3
4335	3
100130075	3
230	3
6286	3
10154	2
100847022	2
257106	2
1107	2
947	2
2969	2
6662	2
100616151	2
80146	2
3688	2
646643	2
5364	2
23247	2
1508	2
2822	2
100126356	2
678	2
55187	2
26524	2
642819	2
2099	2
4088	2
283050	2
1908	2
2870	2
3728	2
731223	2
9855	2
23062	2
23371	2
165100	2
27092	2
80303	2
5073	2
5778	2
151903	2
259230	2
3801	2
9674	2
84675	2
441108	2
124460	2
390664	2
57496	2
8428	2
7068	2
8974	2
2034	2
91768	2
56904	2
286262	2
80739	2
7124	2
64236	2
6768	2
5583	2
100507582	2
5629	2
57476	2
64332	2
140706	2
23286	2
53834	2
9351	2
140710	2
2745	2
83442	2
122953	2
79370	2
90	2
79567	2
80212	2
9907	2
26052	2
25803	2
23158	2
400359	2
221	2
283149	2
65266	2
79754	2
283948	2
79666	2
3954	2
7755	2
442891	2
121506	2
27245	2
145165	2
3655	2
283171	2
1815	2
10044	2
113189	2
8559	2
100129917	2
57103	2
6482	2
55561	2
10486	2
1112	2
51341	2
55733	2
55738	2
861	2
83637	2
9524	2
126353	2
9314	2
1847	2
11322	2
2550	2
9052	2
7155	2
126859	2
158158	2
5664	2
29931	2
10809	2
80728	2
90379	2
810	2
4363	2
832	2
517	2
147040	2
1499	2
404093	2
100616376	2
23549	2
4091	2
84795	2
374882	2
5782	2
143941	2
114990	2
5768	2
7104	2
9766	2
23023	2
100526760	2
2625	2
92291	2
677802	2
100128675	2
256536	2
64077	2
84662	2
11223	2
5064	2
51111	2
55144	2
27166	2
23522	2
400954	2
7033	2
64207	2
10106	2
22849	2
121256	2
22901	2
10062	2
7082	2
64131	2
8495	2
81854	2
11214	2
2841	2
3385	2
26353	2
10458	2
8847	2
116983	2
218	2
196996	2
64855	2
4817	2
221178	2
387893	2
6916	2
9214	2
6376	2
89796	2
10363	2
4046	2
79990	2
2300	2
80342	2
31	2
5339	2
83696	2
1677	2
3485	2
26471	2
4921	2
25928	2
10040	2
7343	2
3483	2
4050	2
9712	2
155185	2
5918	2
828	2
9507	2
56204	2
6311	2
10451	2
201501	2
5023	2
3200	2
54438	2
254359	2
100137049	2
64283	2
6953	2
1236	2
84501	2
114770	2
25841	2
9208	2
283	2
1534	2
8525	2
144165	2
100505566	2
100271702	2
247	2
11135	2
5549	2
55249	2
55539	2
201176	2
2248	2
2155	2
22904	2
10663	2
4947	2
7141	2
116372	2
6263	2
647033	2
6309	2
29109	2
375035	2
83607	2
133522	2
9742	2
26034	2
83983	2
771	2
10642	2
116154	2
84612	2
390792	2
7329	2
57111	2
1302	2
339448	2
100507140	2
220992	2
23030	2
9792	2
150696	2
3912	2
100506190	2
26153	2
7188	2
122786	2
1468	2
54502	2
79007	2
23321	2
3902	2
1298	2
100500817	2
860	2
693159	2
22796	2
100507584	2
3643	2
55347	2
201895	2
100302281	2
4739	2
255189	2
80270	2
6337	2
8611	2
5087	2
23022	2
643246	2
26018	2
115557	2
10891	2
100379249	2
79960	2
987	2
55208	2
151171	2
11033	2
80271	2
100616235	2
27247	2
4092	2
100506844	2
64924	2
81621	2
136	2
59269	2
24146	2
1326	2
56890	2
23240	2
8864	2
9811	2
23007	2
81493	2
54453	2
51429	2
406933	2
89866	2
26509	2
57222	2
26579	2
84000	2
51621	2
55075	2
202915	2
23161	2
80176	2
693208	2
23555	2
100130148	2
345222	2
399664	2
135	2
22903	2
401127	2
400360	2
6874	2
91522	2
991	2
10507	2
388	2
2313	2
170394	2
377841	2
253128	2
22909	2
414235	2
22877	2
25794	2
125950	2
56977	2
54471	2
162989	2
6653	2
51363	2
23242	2
285368	2
57104	2
4188	2
339500	2
7982	2
80781	2
51649	2
4071	2
64225	2
283234	2
3659	2
3732	2
148696	2
22822	2
7805	2
317671	2
6711	2
11343	2
85358	2
7402	2
170679	2
574036	2
7704	2
100616317	2
54541	2
3071	2
29098	2
58472	2
414926	2
3425	2
79174	2
91050	2
3112	2
100874243	2
79020	2
57829	2
4258	2
80727	2
51043	2
114781	2
203062	2
163183	2
10140	2
2355	2
11163	2
284835	2
8613	2
3312	2
91653	2
222698	2
117584	2
2867	2
728609	2
1793	2
51422	2
9686	2
54434	2
57507	2
47	2
2123	2
7473	2
5521	2
27086	2
285668	2
27161	2
90693	2
100302149	2
10252	2
23373	2
923	2
7171	2
623	2
100505716	2
2181	2
6272	2
1368	2
57699	2
53335	2
57504	2
25987	2
9759	2
112	2
221035	2
79094	2
285386	2
54848	2
5872	2
91050	2
3570	2
7039	2
84803	2
363	2
149563	2
285268	2
283214	2
4643	2
144165	2
29097	2
10024	2
9132	2
221914	2
81033	2
6330	2
167691	2
8463	2
255743	2
80032	2
130951	2
339804	2
132299	2
11346	2
84931	2
1534	2
79696	2
5745	2
136853	2
330	2
137075	2
100144748	2
54103	2
5201	2
9379	2
25875	2
5874	2
8831	2
51313	2
7430	2
2946	2
55322	2
629	2
100505783	2
92815	2
2348	2
133121	2
346171	2
90485	2
135932	2
100506243	2
346157	2
85442	2
11047	2
6545	2
158376	2
112398	2
100874362	2
203413	2
147872	2
1133	1
6575	1
3398	1
6346	1
3623	1
100302246	1
26140	1
100302261	1
10015	1
100130855	1
390539	1
223117	1
219902	1
9806	1
51099	1
2813	1
80011	1
151525	1
863	1
9697	1
53917	1
9683	1
54504	1
6385	1
10994	1
100131897	1
3339	1
84705	1
81628	1
100616242	1
11000	1
165257	1
11046	1
63940	1
6340	1
8575	1
6920	1
4638	1
57121	1
23369	1
2036	1
64651	1
84159	1
9039	1
1839	1
9663	1
8085	1
64285	1
202018	1
65220	1
25837	1
26003	1
197021	1
30813	1
4118	1
100313938	1
54847	1
54873	1
7005	1
9882	1
23096	1
1875	1
55584	1
10555	1
51741	1
79705	1
7407	1
80820	1
541565	1
131601	1
221960	1
55076	1
1365	1
1592	1
2963	1
55277	1
6477	1
406959	1
54505	1
1175	1
55512	1
7249	1
84859	1
406891	1
25780	1
405754	1
1606	1
83879	1
3099	1
475	1
5509	1
3845	1
6992	1
23316	1
144817	1
100616414	1
9572	1
51495	1
93273	1
400952	1
5795	1
83648	1
10637	1
5909	1
639	1
8675	1
124872	1
5209	1
8831	1
83937	1
54891	1
1293	1
83667	1
8534	1
118932	1
55209	1
7871	1
2266	1
645949	1
7167	1
283358	1
1137	1
1117	1
1445	1
1001	1
1145	1
10974	1
4242	1
10648	1
79745	1
92999	1
6512	1
54491	1
4326	1
84879	1
11277	1
10455	1
390181	1
100423027	1
3396	1
23405	1
4851	1
8431	1
84320	1
1113	1
1465	1
10395	1
80008	1
23261	1
93010	1
222865	1
23408	1
339894	1
81618	1
155368	1
3706	1
646962	1
91949	1
23344	1
10634	1
23526	1
55048	1
51091	1
79153	1
9963	1
6011	1
11151	1
728978	1
57662	1
3487	1
55297	1
54852	1
6717	1
80125	1
64711	1
4838	1
64342	1
51454	1
86	1
283860	1
643155	1
7360	1
91584	1
3557	1
124220	1
130872	1
9454	1
343990	1
284454	1
9501	1
100507392	1
1820	1
4255	1
3594	1
64798	1
81566	1
51646	1
84457	1
29933	1
284217	1
5552	1
5934	1
54799	1
6370	1
10277	1
23593	1
200916	1
84886	1
80745	1
4299	1
25798	1
4298	1
1942	1
100996291	1
6452	1
2149	1
339479	1
8456	1
90326	1
221061	1
594842	1
23059	1
143678	1
9218	1
800	1
79885	1
406976	1
1877	1
84937	1
2894	1
9618	1
168455	1
10454	1
6513	1
8601	1
9564	1
91862	1
284001	1
129852	1
100616392	1
140465	1
10400	1
607	1
54978	1
2887	1
11285	1
9857	1
57134	1
23514	1
1294	1
9270	1
10848	1
9540	1
91523	1
26063	1
54979	1
23327	1
2665	1
1991	1
10196	1
10750	1
1595	1
939	1
100507246	1
166614	1
10384	1
85458	1
79071	1
125058	1
346389	1
3977	1
23150	1
11262	1
6387	1
29899	1
84759	1
3964	1
57189	1
100652999	1
64146	1
100292680	1
22924	1
55862	1
1876	1
153562	1
3707	1
55717	1
729467	1
6755	1
928	1
11076	1
116496	1
57465	1
729085	1
51654	1
23002	1
389084	1
4179	1
708	1
79693	1
79412	1
7189	1
10969	1
5507	1
5518	1
25917	1
8419	1
5605	1
83641	1
60592	1
133584	1
693126	1
10335	1
23355	1
121274	1
55811	1
22820	1
124540	1
643441	1
3984	1
440354	1
6688	1
399717	1
80704	1
84300	1
100616150	1
23361	1
282997	1
644943	1
54558	1
5590	1
135295	1
6712	1
10630	1
401335	1
83742	1
100874377	1
219654	1
2132	1
100859921	1
134265	1
81029	1
7077	1
10490	1
5550	1
64218	1
26256	1
5793	1
8603	1
285800	1
100422944	1
4082	1
100507091	1
22996	1
5905	1
56928	1
3892	1
57451	1
1464	1
4524	1
23761	1
100500938	1
29986	1
8645	1
10265	1
100505666	1
8912	1
285203	1
100507218	1
283651	1
50485	1
283212	1
63892	1
102	1
4761	1
343035	1
2052	1
140691	1
100847057	1
23101	1
1588	1
2006	1
30812	1
27074	1
166824	1
2534	1
399888	1
3554	1
6496	1
10409	1
100128098	1
84766	1
221472	1
816	1
57710	1
10890	1
154386	1
641654	1
81788	1
80139	1
114876	1
79875	1
55629	1
80258	1
22873	1
6840	1
387065	1
23001	1
646324	1
677821	1
10026	1
23406	1
3241	1
692199	1
131034	1
10461	1
54986	1
3800	1
55238	1
55625	1
5010	1
5128	1
57020	1
334	1
6189	1
100271836	1
100616360	1
128637	1
26001	1
642587	1
285761	1
10586	1
100132677	1
78999	1
667	1
286006	1
54753	1
100133991	1
2805	1
2071	1
83886	1
51411	1
283431	1
100422931	1
1742	1
7286	1
23366	1
961	1
100191040	1
100302121	1
864	1
23040	1
285704	1
54442	1
339123	1
9542	1
100130717	1
5890	1
25937	1
10512	1
57470	1
113	1
157697	1
80790	1
148808	1
7416	1
2549	1
114827	1
113000	1
51382	1
23048	1
642852	1
8572	1
54900	1
284119	1
5305	1
9044	1
59	1
3875	1
101	1
83988	1
80323	1
255349	1
220	1
399923	1
89953	1
57492	1
9423	1
84296	1
6314	1
5698	1
401934	1
4978	1
11082	1
9311	1
11345	1
9260	1
197257	1
6398	1
201617	1
11007	1
349114	1
8801	1
840	1
5829	1
80228	1
7173	1
196743	1
170680	1
80723	1
51735	1
199857	1
339862	1
54553	1
7045	1
57460	1
57654	1
26472	1
339524	1
728463	1
750	1
51082	1
5201	1
27032	1
10099	1
26030	1
113791	1
100506801	1
196872	1
9846	1
100847087	1
7942	1
440028	1
23589	1
100423043	1
23551	1
440419	1
387082	1
54933	1
79958	1
1456	1
23528	1
79230	1
5836	1
9241	1
79047	1
3916	1
22992	1
81552	1
974	1
56301	1
58489	1
167227	1
90019	1
693135	1
7799	1
10579	1
10923	1
645884	1
220108	1
25759	1
85359	1
27005	1
196394	1
84148	1
163175	1
3927	1
81619	1
163049	1
4689	1
728621	1
8915	1
64211	1
9828	1
4037	1
114904	1
3108	1
5420	1
121512	1
10460	1
160760	1
388341	1
10966	1
91057	1
51390	1
342933	1
1728	1
100885778	1
127550	1
9780	1
23499	1
54908	1
29760	1
10221	1
8521	1
124404	1
134359	1
23175	1
144455	1
285419	1
64979	1
5464	1
27152	1
29927	1
58504	1
1958	1
594	1
9308	1
58985	1
63827	1
8609	1
677846	1
5732	1
2980	1
22902	1
26115	1
339512	1
148252	1
477	1
171546	1
752	1
283951	1
10749	1
9647	1
9659	1
83540	1
55083	1
23063	1
1943	1
124359	1
120224	1
8427	1
219	1
23043	1
220929	1
54936	1
647323	1
23396	1
387914	1
112574	1
23216	1
100500850	1
53343	1
9919	1
9646	1
146279	1
441009	1
3866	1
63971	1
285093	1
401233	1
100616398	1
339535	1
2935	1
54896	1
4035	1
9586	1
645676	1
100130417	1
10771	1
249	1
51278	1
55207	1
150372	1
1911	1
256949	1
374887	1
26994	1
10573	1
26037	1
79815	1
150967	1
79919	1
